,HB_NORTH (DALMP),HB_NORTH (RTLMP)
ERCOT (SOLAR_STPPF_BIDCLOSE),True,True
ERCOT (TOTAL_RESOURCE_CAP_OUT),True,False
ERCOT (WIND_STWPF_BIDCLOSE),True,True
GR_COASTAL (WIND_STWPF_BIDCLOSE),True,True
GR_ERCOT (WIND_STWPF_BIDCLOSE),True,True
GR_NORTH (WIND_STWPF_BIDCLOSE),True,True
GR_PANHANDLE (WIND_STWPF_BIDCLOSE),True,True
GR_SOUTH (WIND_STWPF_BIDCLOSE),True,True
GR_WEST (WIND_STWPF_BIDCLOSE),True,True
WZ_Coast (BIDCLOSE_LOAD_FORECAST),True,True
WZ_ERCOT (BIDCLOSE_LOAD_FORECAST),True,True
WZ_East (BIDCLOSE_LOAD_FORECAST),True,True
WZ_FarWest (BIDCLOSE_LOAD_FORECAST),True,True
WZ_North (BIDCLOSE_LOAD_FORECAST),True,True
WZ_NorthCentral (BIDCLOSE_LOAD_FORECAST),True,True
WZ_SouthCentral (BIDCLOSE_LOAD_FORECAST),True,True
WZ_Southern (BIDCLOSE_LOAD_FORECAST),True,True
WZ_West (BIDCLOSE_LOAD_FORECAST),True,True
