Feature,Known Y/N,Solving For,Actual,Feature Type,Category,Region,color
HB_NORTH (DALMP),False,True,False,DayAhead Price,DALMP,north,"(0.7137254901960784, 0.7137254901960784, 0.8470588235294118, 1.0)"
WZ_Coast (RTLOAD),False,False,True,Demand,RTLOAD,coast,"(0.5796078431372549, 0.7701960784313725, 0.8737254901960784, 1.0)"
WZ_ERCOT (RTLOAD),False,False,True,Demand,RTLOAD,ercot,"(0.5231372549019608, 0.73919261822376, 0.8615455594002307, 1.0)"
WZ_East (RTLOAD),False,False,True,Demand,RTLOAD,east,"(0.4666666666666667, 0.7081891580161477, 0.8493656286043829, 1.0)"
WZ_FarWest (RTLOAD),False,False,True,Demand,RTLOAD,farwest,"(0.4120415224913495, 0.6771856978085352, 0.8362629757785467, 1.0)"
WZ_North (RTLOAD),False,False,True,Demand,RTLOAD,north,"(0.37168781237985393, 0.6496270665128797, 0.8205151864667436, 1.0)"
WZ_NorthCentral (RTLOAD),False,False,True,Demand,RTLOAD,northcentral,"(0.32628988850442137, 0.6186236063052672, 0.802798923490965, 1.0)"
WZ_SouthCentral (RTLOAD),False,False,True,Demand,RTLOAD,southcentral,"(0.28089196462898885, 0.5876201460976547, 0.7850826605151865, 1.0)"
WZ_Southern (RTLOAD),False,False,True,Demand,RTLOAD,south,"(0.24004613610149955, 0.5537716262975779, 0.7667973856209152, 1.0)"
WZ_West (RTLOAD),False,False,True,Demand,RTLOAD,west,"(0.2035063437139562, 0.5172318339100346, 0.7479738562091504, 1.0)"
WZ_Coast (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,coast,"(0.16696655132641292, 0.48069204152249134, 0.7291503267973857, 1.0)"
WZ_ERCOT (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,ercot,"(0.13042675893886968, 0.4441522491349481, 0.710326797385621, 1.0)"
WZ_East (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,east,"(0.10249903883121878, 0.4086889657823914, 0.6828911956939638, 1.0)"
WZ_FarWest (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,farwest,"(0.07481737793156479, 0.3732564398308343, 0.6552095347943099, 1.0)"
WZ_North (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,north,"(0.05021145713187236, 0.341760861207228, 0.6306036139946175, 1.0)"
WZ_NorthCentral (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,northcentral,"(0.03137254901960784, 0.3059746251441753, 0.5944329104190696, 1.0)"
WZ_SouthCentral (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,southcentral,"(0.03137254901960784, 0.26943483275663205, 0.5401768550557479, 1.0)"
WZ_Southern (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,south,"(0.03137254901960784, 0.23289504036908892, 0.4859207996924262, 1.0)"
WZ_West (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,west,"(0.03137254901960784, 0.19635524798154555, 0.4316647443291042, 1.0)"
Katy (GASPRICE),True,False,False,Fuel Price,GASPRICE,None,"(0.753610618, 0.830232851, 0.960871157, 1.0)"
Henry (GASPRICE),True,False,False,Fuel Price,GASPRICE,None,"(0.717434544917647, 0.05111754842352939, 0.15873660770196077, 1.0)"
ERCOT (TOTAL_RESOURCE_CAP_OUT),True,False,False,Outages,TOTAL_RESOURCE_CAP_OUT,resource,"(0.7105882352941176, 0.7105882352941176, 0.7105882352941176, 1.0)"
HB_NORTH (RTLMP),False,True,False,Rt Price,RTLMP,north,"(0.9874509803921568, 0.5411764705882353, 0.41568627450980394, 1.0)"
ERCOT (GENERATION_SOLAR_RT),False,False,True,Solar,GENERATION_SOLAR_RT,solar,"(0.9921568627450981, 0.6564705882352941, 0.3827450980392157, 1.0)"
ERCOT (SOLAR_STPPF_BIDCLOSE),True,False,False,Solar,SOLAR_STPPF_BIDCLOSE,stppf,"(0.5076355247981545, 0.1566320645905421, 0.015440215301806996, 1.0)"
GR_COASTAL (WINDDATA),False,False,True,Wind,WINDDATA,coast,"(0.596078431372549, 0.8345098039215686, 0.5788235294117646, 1.0)"
GR_ERCOT (WINDDATA),False,False,True,Wind,WINDDATA,ercot,"(0.5462514417531719, 0.8112572087658593, 0.5378546712802768, 1.0)"
GR_NORTH (WINDDATA),False,False,True,Wind,WINDDATA,north,"(0.4908881199538639, 0.7854209919261823, 0.49233371780084584, 1.0)"
GR_PANHANDLE (WINDDATA),False,False,True,Wind,WINDDATA,panhandle,"(0.4392156862745098, 0.7609381007304883, 0.45505574778931185, 1.0)"
GR_SOUTH (WINDDATA),False,False,True,Wind,WINDDATA,south,"(0.3764705882352941, 0.7301806997308727, 0.42429834678969625, 1.0)"
GR_WEST (WINDDATA),False,False,True,Wind,WINDDATA,west,"(0.31999999999999995, 0.7024990388312188, 0.3966166858900423, 1.0)"
ERCOT (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,stwpf,"(0.25725490196078427, 0.6717416378316032, 0.36585928489042674, 1.0)"
GR_COASTAL (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,coast,"(0.22306805074971164, 0.636632064590542, 0.3392387543252595, 1.0)"
GR_ERCOT (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,ercot,"(0.18985005767012686, 0.601199538638985, 0.3126643598615917, 1.0)"
GR_NORTH (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,north,"(0.15294117647058825, 0.5618300653594771, 0.28313725490196073, 1.0)"
GR_PANHANDLE (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,panhandle,"(0.11680123029604011, 0.5275663206459055, 0.25597846981930034, 1.0)"
GR_SOUTH (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,south,"(0.07374086889657824, 0.49065743944636675, 0.22522106881968473, 1.0)"
GR_WEST (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,west,"(0.034986543637062675, 0.45743944636678197, 0.19753940792003075, 1.0)"
NORTH (ERCOT) (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,stwpf,"(0.0, 0.41799307958477505, 0.16862745098039217, 1.0)"
SOUTH_HOUSTON (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,houston,"(0.0, 0.37259515570934254, 0.14980392156862746, 1.0)"
WEST (ERCOT) (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,stwpf,"(0.0, 0.3221530180699732, 0.12888888888888894, 1.0)"
WEST_NORTH (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,north,"(0.0, 0.2767550941945406, 0.11006535947712418, 1.0)"
